maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
D	18				130		Donderdag in de 3e week door het jaar		d	g			618	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	19				130		Vrijdag in de 3e week door het jaar		d	g			619	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	20				130		Zaterdag in de 3e week door het jaar		d	g			620	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	20				120		Maria op zaterdag	Maria op zaterdag		w	599			[]
D	21				60		4e zondag door het jaar		d	g			621	"{""va"":{""a"":null,""b"":{""hy"":""onbekend"",""ag"":""591""}},""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""591""}},""mi"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""591""}},""av"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""591""}},""ds"":{""a"":""onbekend""}}"
D	22				130		Maandag in de 4e week door het jaar		d	g			622	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	23				130		Dinsdag in de 4e week door het jaar		d	g			623	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	24				130		Woensdag in de 4e week door het jaar		d	g			624	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	25				130		Donderdag in de 4e week door het jaar		d	g			625	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	26				130		Vrijdag in de 4e week door het jaar		d	g			626	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""591""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
